Team,Player,Mouse,DPI,X-Axis Sens,Y-Axis Sens,Targeting Sens,Scope Sens,Monitor,Resolution,Mousepad,Keyboard,Headset
Content Creator,Dakotaz,Logitech G502 HERO,2400,6.7%,6.7%,100.0%,99%,ASUS ROG SWIFT PG258Q,1920x1080,Logitech G640 TSM Edition,Logitech G Pro Keyboard,ASTRO A50
Content Creator,Skram,Razer Viper Ultimate,800,5.8%,5.8%,50.0%,50.0%,AlienWare AW2518HF,1920x1080,Glorious 3XL,Razer Huntsman Mini,HyperX Cloud Alpha
Content Creator,MarkiLokuras,Logitech G Pro X Superlight Black,1150,12%,12%,63.6%,55.8%,ZOWIE XL2546,1920x1080,,SteelSeries Apex Pro TKL,Logitech G Pro X Wireless Headset
Content Creator,Sharshock,Logitech G Pro X Superlight Black,800,7.0%,7.0%,60.0%,45.0%,ASUS MG248QR,,,,
Content Creator,Jur3ky,Logitech G Pro X Superlight Black,2000,4.0%,4.0%,50.0%,50.0%,ASUS ROG STRIX XG248Q,1920x1080,Artisan FX Hien Mid,SteelSeries Apex Pro TKL,beyerdynamic DT 990 Pro
Content Creator,Zemie,Logitech G Pro X Superlight Black,800,5.5%,5.5%,42.9%,42.9%,Alienware AW2521HF,1920x1080,,Kraken Pro 60,HyperX Cloud II
Content Creator,Kiryache32,Logitech G Pro X Superlight Black,800,8%,8%,72.0%,72.0%,ZOWIE XL2546,1920x1080,Glorious 3XL,SteelSeries Apex Pro TKL,HyperX Cloud II
Content Creator,clarityG,Logitech G Pro X Superlight Black,800,6.3%,6.3%,40.0%,40.0%,Alienware AW2518H,1920x1080,ZOWIE G-SR-SE Deep Blue,SteelSeries Apex Pro TKL,HyperX Cloud II
Content Creator,Avxry,FinalMouse Ultralight Phantom,800,7.3%,7.3%,52.3%,84.9%,ASUS VG248QE,1920x1080,,Varmilo VA87M Summit,
Content Creator,Sommerset,Logitech G Pro X Superlight Magenta,800,6.4%,6.4%,45.9%,50.1%,AlienWare AW2518HF,1920x1080,Custom Mousepad,Custom Keyboard,HyperX Cloud Alpha
Content Creator,Cented,Logitech G Pro X Superlight Black,800,7.2%,7.2%,40.0%,40.0%,Acer Nitro XV252QF,1920x1080,Inked Gaming Custom Mousepad,Wooting 60 HE,HyperX Cloud II Wireless
